chain_id,record_id,stage,domain,metric,window_start_ps,window_end_ps,aggregation,value,unit,criterion_id,criterion_status,verdict,evidence_file,reviewer
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:nvt:001,nvt,physical,absolute_temperature_slope_per_ns,50,100,absolute_slope,39.3341956561,K_per_ns,SCR009,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:nvt:001,nvt,technical,grompp_warnings,,,count,0,count,TECH001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/grompp_nvt.log,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:nvt:001,nvt,physical,nvt_min_box_over_2rlist,0,100,min,1.28570833333,ratio,SCR001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:nvt:001,nvt,technical,stage_duration,0,100,range,100,ps,TECH006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:nvt:001,nvt,physical,temperature_last_two_block_diff,50,100,absolute_difference,1.75902619091,K,SCR010,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:nvt:001,nvt,physical,temperature_mean,50,100,mean,298.656998,K,SCR003,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,absolute_temperature_slope_per_ns,500,1000,absolute_slope,0.466823988358,K_per_ns,SCR011,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,density_first_vs_second_250ps_diff_percent,500,1000,symmetric_difference,0.126895485794,percent,OBS001,PROVISIONAL_EXPLORATORY,NOT_EVALUATED,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,density_last_two_block_diff_percent,500,1000,symmetric_difference,0.165505561456,percent,SCR007,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,density_max_adjacent_block_diff_percent,500,1000,max_symmetric_difference,0.165505561456,percent,SCR008,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
