package_path	kind	system	origin	status_or_provenance
DRAFT_NOT_FOR_PRODUCTION.txt	status	ALL	package-authoring-session	DRAFT marker
MANIFEST.tsv	manifest	ALL	package-authoring-session	Package-wide inventory including this file and SHA256SUMS
README_FIRST_KOR.md	documentation	ALL	package-authoring-session	Korean first-read guide and literal verification levels
SCIENTIFIC_REVIEW_REQUIRED.md	scientific-review	ALL	package-authoring-session	Known scientific blockers and decisions required
SCOPE_AND_ASSUMPTIONS.md	scientific-scope	ALL	package-authoring-session	Composition and force-field assumption audit
SHA256SUMS	integrity	ALL	generated-after-freeze	Package-wide SHA-256 list; excludes itself
colab/CILE_Linux_Validation.ipynb	colab-validation	ALL	package-authoring-session	Ubuntu/Colab validation notebook
colab/README_COLAB_KOR.md	documentation	ALL	package-authoring-session	Colab execution guide
mdp/01_em_strict.mdp	MDP	ALL	02_Processed_Data/MD_Runs/Rigorous_1ns/L1P1/01_em_strict.mdp	Identical SHA-256 across existing rigorous L1P1,L1P2,L2P1,L3P1 copies
mdp/02_nvt_100ps.mdp	MDP	ALL	02_Processed_Data/MD_Runs/Rigorous_1ns/L1P1/02_nvt_100ps.mdp	Identical SHA-256 across existing rigorous L1P1,L1P2,L2P1,L3P1 copies
mdp/03_npt_500ps.mdp	MDP	ALL	02_Processed_Data/MD_Runs/Rigorous_1ns/L1P1/03_npt_500ps.mdp	Identical SHA-256 across existing rigorous L1P1,L1P2,L2P1,L3P1 copies
mdp/04_prod_1ns.mdp	MDP	ALL	02_Processed_Data/MD_Runs/Rigorous_1ns/L1P1/04_prod_1ns.mdp	Identical SHA-256 across existing rigorous L1P1,L1P2,L2P1,L3P1 copies
operator_prompts/CLAUDE_MAX_REVIEW_PROMPT.md	operator-prompt	ALL	package-authoring-session	Independent scientific review prompt
operator_prompts/M4PRO_CLAUDE_CODE_REVIEW_PROMPT.md	operator-prompt	ALL	package-authoring-session	M4 Pro Claude Code review prompt
operator_prompts/M4PRO_CODEX_EXECUTION_PROMPT.md	operator-prompt	ALL	package-authoring-session	M4 Pro Codex execution prompt
